"Step","train_75_doubledt - val_mean_loss_step","train_75_doubledt - val_mean_loss_step__MIN","train_75_doubledt - val_mean_loss_step__MAX","train_75 - val_mean_loss_step","train_75 - val_mean_loss_step__MIN","train_75 - val_mean_loss_step__MAX"
"1900","","","","0.00552781019359827","0.00552781019359827","0.00552781019359827"
"1901","","","","0.005207774695008993","0.005207774695008993","0.005207774695008993"
"1902","","","","0.0049913497641682625","0.0049913497641682625","0.0049913497641682625"
"1904","","","","0.0048689208924770355","0.0048689208924770355","0.0048689208924770355"
"1905","","","","0.004600060638040304","0.004600060638040304","0.004600060638040304"
"1906","","","","0.004649803042411804","0.004649803042411804","0.004649803042411804"
"1908","","","","0.004770969040691853","0.004770969040691853","0.004770969040691853"
"1911","","","","0.004808531142771244","0.004808531142771244","0.004808531142771244"
"1913","","","","0.005098681431263685","0.005098681431263685","0.005098681431263685"
"1914","","","","0.004711821675300598","0.004711821675300598","0.004711821675300598"
"1915","","","","0.005163941066712141","0.005163941066712141","0.005163941066712141"
"1916","","","","0.00495167076587677","0.00495167076587677","0.00495167076587677"
"1917","","","","0.004737098701298237","0.004737098701298237","0.004737098701298237"
"1918","","","","0.005021907389163971","0.005021907389163971","0.005021907389163971"
"1922","","","","0.004601422231644392","0.004601422231644392","0.004601422231644392"
"1923","","","","0.0044969357550144196","0.0044969357550144196","0.0044969357550144196"
"1924","","","","0.004719884134829044","0.004719884134829044","0.004719884134829044"
"1925","","","","0.004378965590149164","0.004378965590149164","0.004378965590149164"
"1928","","","","0.0040887207724153996","0.0040887207724153996","0.0040887207724153996"
"1930","","","","0.004426314029842615","0.004426314029842615","0.004426314029842615"
"1931","","","","0.004211556166410446","0.004211556166410446","0.004211556166410446"
"1932","","","","0.004882270935922861","0.004882270935922861","0.004882270935922861"
"1933","","","","0.004907767288386822","0.004907767288386822","0.004907767288386822"
"1936","","","","0.004826599266380072","0.004826599266380072","0.004826599266380072"
"1937","","","","0.004276638384908438","0.004276638384908438","0.004276638384908438"
"1939","","","","0.005039284471422434","0.005039284471422434","0.005039284471422434"
"1941","","","","0.006180369760841131","0.006180369760841131","0.006180369760841131"
"1942","","","","0.00678927032276988","0.00678927032276988","0.00678927032276988"
"1943","","","","0.007375521119683981","0.007375521119683981","0.007375521119683981"
"1945","","","","0.00700707733631134","0.00700707733631134","0.00700707733631134"
"1947","","","","0.007165043149143457","0.007165043149143457","0.007165043149143457"
"1948","0.08017092943191528","0.08017092943191528","0.08017092943191528","0.006566277239471674","0.006566277239471674","0.006566277239471674"
"1949","0.0585114024579525","0.0585114024579525","0.0585114024579525","0.007001826073974371","0.007001826073974371","0.007001826073974371"
"1950","0.037162017077207565","0.037162017077207565","0.037162017077207565","0.006307736039161682","0.006307736039161682","0.006307736039161682"
"1951","","","","0.006402734667062759","0.006402734667062759","0.006402734667062759"
"1952","0.04452614113688469","0.04452614113688469","0.04452614113688469","","",""
"1953","","","","0.00582017982378602","0.00582017982378602","0.00582017982378602"
"1954","0.046300895512104034","0.046300895512104034","0.046300895512104034","0.006072481628507376","0.006072481628507376","0.006072481628507376"
"1955","0.04249067232012749","0.04249067232012749","0.04249067232012749","0.005774716380983591","0.005774716380983591","0.005774716380983591"
"1956","0.040182579308748245","0.040182579308748245","0.040182579308748245","0.005444152746349573","0.005444152746349573","0.005444152746349573"
"1957","0.04528697207570076","0.04528697207570076","0.04528697207570076","","",""
"1959","","","","0.005008633714169264","0.005008633714169264","0.005008633714169264"
"1960","0.049231547862291336","0.049231547862291336","0.049231547862291336","0.005411806050688028","0.005411806050688028","0.005411806050688028"
"1961","0.04677790030837059","0.04677790030837059","0.04677790030837059","","",""
"1962","0.04789767786860466","0.04789767786860466","0.04789767786860466","","",""
"1963","0.05333015322685242","0.05333015322685242","0.05333015322685242","0.005129402503371239","0.005129402503371239","0.005129402503371239"
"1964","","","","0.004704473074525595","0.004704473074525595","0.004704473074525595"
"1965","","","","0.0050025824457407","0.0050025824457407","0.0050025824457407"
"1966","0.0809580460190773","0.0809580460190773","0.0809580460190773","0.004770148545503616","0.004770148545503616","0.004770148545503616"
"1967","0.04287978634238243","0.04287978634238243","0.04287978634238243","0.004664540756493807","0.004664540756493807","0.004664540756493807"
"1968","","","","0.004858858417719603","0.004858858417719603","0.004858858417719603"
"1969","","","","0.004853151738643646","0.004853151738643646","0.004853151738643646"
