ensemble_member,energy_rel_error,sigma_deg,model,sigma_bin
81,0.7076052188888888,7.189225363277388,40dt sub2 MP2,"(6.957, 7.66]"
82,0.7600697555555556,6.309947502086393,40dt sub2 MP2,"(6.248, 6.957]"
83,0.6774400866666667,6.343391640919562,40dt sub2 MP2,"(6.248, 6.957]"
84,0.7691881555555555,11.027881311932298,40dt sub2 MP2,"(10.472, 11.175]"
85,0.67570421,11.10678659857161,40dt sub2 MP2,"(10.472, 11.175]"
86,0.52766344,10.259428183687824,40dt sub2 MP2,"(9.769, 10.472]"
87,0.7411312155555555,6.254103309481002,40dt sub2 MP2,"(6.248, 6.957]"
88,0.7252171077777778,7.101199373281914,40dt sub2 MP2,"(6.957, 7.66]"
89,0.6533712011111111,9.434478899751824,40dt sub2 MP2,"(9.066, 9.769]"
90,0.6798465555555555,10.198655667534396,40dt sub2 MP2,"(9.769, 10.472]"
91,0.6850718066666667,8.424206344444595,40dt sub2 MP2,"(8.363, 9.066]"
92,0.5964282255555555,7.828227622564988,40dt sub2 MP2,"(7.66, 8.363]"
93,0.6404574244444444,8.452698656572183,40dt sub2 MP2,"(8.363, 9.066]"
94,0.6919868,8.510400264941161,40dt sub2 MP2,"(8.363, 9.066]"
95,0.7491313633333333,10.212013086662228,40dt sub2 MP2,"(9.769, 10.472]"
96,0.7041741233333334,9.294866301598079,40dt sub2 MP2,"(9.066, 9.769]"
97,0.6711694831111111,10.420234130893322,40dt sub2 MP2,"(9.769, 10.472]"
98,0.6825645877777777,10.799222464583018,40dt sub2 MP2,"(10.472, 11.175]"
99,0.5730640488888888,6.333407501441268,40dt sub2 MP2,"(6.248, 6.957]"
